Model,Language,citation,simple,ethos,justification
gemini,en,0.09,0.08,0.09,0.07
gemini,fr,0.11,0.09,0.08,0.07
gemini,id,0.09,0.08,0.11,0.08
gemini,zh,0.1,0.06,0.16,0.03
gemini,sw,0.09,0.05,0.12,0.07
gemini,bn,0.08,0.09,0.12,0.05
gpt,sw,0.19,0.07,0.09,0.11
gpt,id,0.07,0.02,0.02,0.03
gpt,en,0.1,0.04,0.06,0.05
gpt,fr,0.08,0.05,0.07,0.05
gpt,zh,0.16,0.04,0.07,0.11
gpt,bn,0.16,0.07,0.15,0.14
claude,bn,0.15,0.16,0.14,0.14
claude,en,0.1,0.1,0.1,0.09
claude,zh,0.19,0.15,0.17,0.16
claude,fr,0.11,0.11,0.1,0.1
claude,id,0.08,0.08,0.09,0.08
claude,sw,0.21,0.22,0.18,0.2
