Model,Language,citation,simple,ethos,justification
gemini,en,0.1,0.21,0.1,0.06
gemini,fr,0.09,0.06,0.12,0.05
gemini,id,0.21,0.17,0.2,0.11
gemini,zh,0.1,0.1,0.11,0.04
gemini,sw,0.14,0.08,0.23,0.08
gemini,bn,0.06,0.05,0.1,0.01
gpt,sw,0.03,0.0,0.03,0.01
gpt,id,0.09,0.06,0.08,0.03
gpt,en,0.07,0.01,0.04,0.03
gpt,fr,0.06,0.01,0.04,0.03
gpt,zh,0.14,0.01,0.03,0.06
gpt,bn,0.11,0.01,0.03,0.06
claude,bn,0.35,0.31,0.37,0.33
claude,en,0.2,0.23,0.23,0.2
claude,zh,0.35,0.14,0.17,0.22
claude,fr,0.4,0.26,0.26,0.34
claude,id,0.3,0.25,0.3,0.25
claude,sw,0.37,0.3,0.26,0.35
